"488,945,4,717,489,378,236,612"
"476,942,4,717,491,372,235,598"
"484,940,5,719,491,374,232,616"
"486,943,2,716,489,374,238,611"
"488,945,5,716,483,375,235,612"
"487,946,2,720,490,376,235,614"
"499,949,5,716,492,376,238,616"
"490,943,6,744,489,375,235,612"
"491,940,6,719,490,376,238,639"
"490,943,6,717,492,396,237,613"
"486,948,5,718,490,375,236,612"
"489,942,5,718,490,376,236,615"
"504,944,3,718,491,377,237,613"
"491,952,4,719,489,379,238,618"
"491,942,5,719,487,378,238,615"
"491,944,5,722,490,376,237,611"
"488,945,5,721,492,379,236,613"
"491,940,5,717,489,377,237,615"
"494,944,7,721,490,378,237,610"
"501,939,5,716,491,392,238,614"
"493,947,4,721,490,377,237,615"
"493,945,5,718,493,377,238,616"
"492,944,13,716,490,379,246,613"
"493,944,3,718,489,401,246,616"
"495,942,3,718,502,379,238,616"
"497,945,2,718,508,376,239,602"
"493,945,5,720,490,377,239,612"
"493,940,4,718,489,380,238,616"
"497,947,5,719,489,381,239,616"
"494,942,8,708,492,380,238,616"
"494,944,4,720,489,381,238,618"
"492,946,4,721,489,380,234,615"
"499,945,6,718,489,381,237,614"
"493,943,4,717,494,380,239,618"
"497,950,5,718,492,383,240,617"
"497,942,4,720,489,381,268,617"
"194,822,8,289,295,256,122,112"
"197,813,19,315,295,256,122,123"
"193,811,5,284,295,256,120,124"
"185,809,6,281,293,255,118,123"
"189,807,4,279,293,256,118,121"
"190,800,5,279,293,255,118,122"
"188,798,5,274,292,256,119,119"
"188,798,5,272,290,255,115,115"
"190,796,4,270,288,253,116,119"
"186,789,5,267,288,253,115,118"
"192,791,3,264,289,253,113,119"
"185,785,6,264,288,253,112,117"
"185,783,1,260,284,252,112,117"
"184,779,4,259,284,252,112,117"
"182,774,7,249,285,252,111,117"
"180,772,5,258,281,251,109,115"
"180,776,14,280,283,254,110,114"
"185,773,5,251,283,251,109,113"
"173,763,6,250,283,247,122,114"
"180,765,5,250,281,250,109,115"
"179,764,8,248,276,252,107,115"
"175,762,13,242,279,251,107,108"
"173,757,5,244,275,251,108,113"
"174,753,5,242,280,250,105,112"
"176,753,5,241,278,249,104,112"
"173,753,7,239,293,250,105,111"
"175,751,6,239,276,249,102,111"
"174,742,4,238,276,249,105,114"
"173,745,6,235,274,248,102,111"
"172,741,5,233,274,251,100,110"
"167,741,5,232,268,251,102,110"
"172,740,5,227,274,247,105,109"
"170,734,4,231,274,249,100,117"
"169,733,4,227,283,251,101,110"
"171,733,5,231,272,247,100,108"
"169,726,4,221,272,248,101,108"
"168,728,5,225,272,250,99,107"
"163,726,5,223,272,247,99,93"
"170,726,5,225,270,247,102,111"
"167,723,5,226,270,250,97,105"
"164,723,5,221,269,247,98,108"
"167,722,5,220,269,247,98,107"
"165,718,4,217,268,242,100,103"
"162,722,0,217,269,245,98,105"
"164,713,5,216,266,246,96,105"
"164,712,0,214,269,259,96,106"
"163,710,6,212,268,246,97,105"
"164,711,5,213,269,249,95,106"
"163,712,4,211,266,249,93,106"
"163,705,7,210,265,246,93,105"
"164,693,1,214,265,244,94,103"
"163,703,5,208,265,248,106,104"
"162,697,5,207,264,245,94,102"
"161,698,18,205,264,245,93,103"
"160,698,6,207,264,248,94,101"
"160,697,5,206,263,244,92,100"
"160,691,2,234,267,244,93,102"
"159,694,3,203,262,245,91,101"
"157,692,4,202,255,244,97,101"
"149,688,5,200,260,239,90,103"
